mean,std
noise_7,-0.0002363394824513987,0.0002628292535201726
noise_5,-0.00017039274706397156,0.00025281205045792765
feature_dexterity5,-8.815213793162054e-05,0.00017326512034389287
noise_6,-6.873419090186286e-05,0.0001395005403820662
noise_1,-5.292191658166056e-05,0.0001248451961398308
noise_2,-2.4797707836270263e-06,3.2606850064738023e-06
noise_3,1.4311041432907558e-05,0.00039272190597809854
feature_dexterity3,5.055177893238092e-05,0.00010623890725133544
noise_4,6.205949101049349e-05,2.9159062801054074e-05
feature_dexterity4,7.775513829795743e-05,0.00027822448447127845
feature_dexterity10,0.00022844622487469643,0.0005706025685424491
feature_dexterity14,0.00039587281620458506,0.000655961315533637
feature_dexterity8,0.0005050917803560458,0.0004521749872088669
feature_dexterity2,0.0005104683548242406,5.838787447033536e-05
feature_dexterity13,0.0005939523273251612,0.00035603393342236367
feature_dexterity7,0.000816346023913359,0.0007920344508244817
feature_dexterity11,0.0018114812849993748,0.0009470322954835124
feature_dexterity12,0.0030470987948173593,0.0008041457420408812
feature_dexterity1,0.003181406979685637,0.00043216534738144894
feature_dexterity6,0.004148251761494529,0.0009062089814282271
feature_dexterity9,0.007109437996410728,0.0007447635066681834
