mean,std
PCA_16,-0.0005458490618730536,0.00047630392791644905
PCA_10,-0.0003778346297906126,0.00019157068478684367
PCA_8,-0.00028315607402324593,0.0002958187081180888
PCA_7,-0.00025599889105843023,0.00015755785577477863
PCA_13,-0.0001256704996555991,0.00016843651263398853
PCA_5,-9.341568091090248e-05,5.7775761284262905e-05
PCA_2,-8.069603208545548e-05,4.100865814946216e-05
PCA_6,-4.630611311810424e-05,7.291399367340255e-05
PCA_15,-3.0025919302908765e-05,6.097213244890372e-05
PCA_14,2.559811643949243e-05,0.0009053302172269814
PCA_3,3.795173571566693e-05,2.3412384314994845e-05
PCA_17,6.779203056475283e-05,1.0168192822699027e-05
PCA_9,0.00014985125617768158,0.00018507281663689745
PCA_4,0.0002001156601644118,9.809245389103722e-05
PCA_12,0.0010285836518311058,0.0007165282478299851
PCA_0,0.0031574856823204382,0.00038724840097389425
PCA_11,0.003568621529272526,0.00042569363271557356
PCA_1,0.008889467197935283,0.001694006385296173
