mean,std
PCA_12,-0.0018802392957588756,0.0007114004423669279
PCA_13,-0.001735573591889135,0.00035422832046953285
PCA_15,-0.0006954998046356558,0.00039736010917034727
PCA_4,-0.0006712308519241625,0.0005484413764976769
PCA_7,-5.399784096700209e-05,0.0009820156191016015
PCA_3,8.226595516755831e-05,0.00078017406074949
PCA_8,0.00022424605116252376,0.0007519540829919114
PCA_6,0.00045457166125123944,0.001262480226529106
PCA_5,0.0004977740673114375,0.00037434191203718675
PCA_0,0.0007001138150310709,0.0015166601106060983
PCA_11,0.0009831198244679427,0.00034677103061590787
PCA_2,0.000984412455516986,0.0011863588211110596
PCA_10,0.001038186677190916,0.00025706116578126046
PCA_9,0.0010684515396130472,0.0013251682378552989
PCA_14,0.0012086855870613257,0.000389739225919613
PCA_16,0.0014100140335151386,0.0011900387615796748
PCA_1,0.0019841343094734692,0.0011302245616446127
PCA_17,0.003014989176793459,0.0005510555210047428
