mean,std
noise_6,-0.0011071148582198636,0.00028675551644767106
feature_dexterity13,-0.0009197614000140004,0.001105589869866153
feature_dexterity6,-0.0004587006138861753,0.0014082138052033037
noise_1,0.0002345918962156539,0.001556082346638285
feature_dexterity9,0.0003340560705187806,0.0007342183956539349
feature_dexterity5,0.0006442544533180652,0.0006900616443826362
noise_5,0.0010570042659549528,0.001012761591839226
noise_3,0.001182439276257592,0.001120949487209974
feature_dexterity4,0.0013066179721292273,0.0004179367478775416
feature_dexterity2,0.0017535341182851841,0.0008457466291949384
feature_dexterity12,0.001818817127298115,0.0007577411989655786
feature_dexterity8,0.0019046076465512717,0.0008047233615921394
feature_dexterity7,0.002021112866066444,0.00026830218984566376
noise_7,0.0021506921362530493,0.0006687454379877824
feature_dexterity10,0.0024080800853862176,0.0006115285272961932
feature_dexterity11,0.0024724762069671686,0.0015136987250580693
feature_dexterity14,0.002473133325551166,0.0005146394218565716
noise_4,0.002530922143342893,0.0003137805357883088
noise_2,0.00264597837995151,0.0005391599194803358
feature_dexterity1,0.002739861802404393,0.0009850959834132125
feature_dexterity3,0.0031354334885497228,0.0006835419059533529
