mean,std
feature_dexterity2,0.029630714605000094,0.0004564551380863707
feature_dexterity10,0.030275007891767704,0.0004962341927830144
feature_dexterity5,0.03333092221742792,0.0005208230818691725
feature_dexterity13,0.03381404084285146,0.0005062098951382964
feature_dexterity1,0.03497733257732339,0.0004789773121139383
feature_dexterity3,0.03627378822586681,0.0006909685757951322
feature_dexterity8,0.03674057161989488,0.0005825829810568465
feature_dexterity6,0.0372898086300706,0.0007620937680849354
feature_dexterity14,0.037813223092269393,0.0006362212362020663
feature_dexterity11,0.03888175689368691,0.0006029378425704626
feature_dexterity12,0.0395342497044845,0.000522717461866719
feature_dexterity9,0.03997544943044101,0.0005139254056081193
feature_dexterity4,0.04043175720363551,0.0007978523157237794
feature_dexterity7,0.04121343316143767,0.0006396443514823387
noise_5,0.06769407820840513,0.0011287150200381426
noise_7,0.06917226049903354,0.0011684624893515242
noise_2,0.06933217105882604,0.0011547846868397871
noise_3,0.07016476719380296,0.0012369229962490018
noise_1,0.07023645620590155,0.0012639702722703474
noise_4,0.07152609196083662,0.0010293808390199573
noise_6,0.07169211877703642,0.001048937125766555
