mean,std
noise_7,-0.0033303206353037206,0.0015394225205306756
noise_5,-0.0027777356239677797,0.0011219078517246343
noise_1,-0.0013661851032346218,0.00030472749187572816
feature_dexterity10,-0.0005289929004285435,0.0006927663618970967
feature_dexterity2,-0.00011528148235193836,0.00029862285017922635
noise_2,0.0006520750075087733,0.00012017371652526252
noise_4,0.0009275645760354227,0.0007004060567733975
noise_6,0.0018285958535030076,0.0012153975332110309
noise_3,0.0023042635532663455,0.0014642990775688195
feature_dexterity13,0.002312725848868487,0.0004789078695932885
feature_dexterity5,0.0025280476117835473,0.0008372325977793019
feature_dexterity1,0.0046722880544065966,0.00041886003334766774
feature_dexterity8,0.0061613852257121045,0.0008691869701391219
feature_dexterity3,0.006181918082201602,0.0006487629806139256
feature_dexterity9,0.006742169797782031,0.0004249636622024056
feature_dexterity12,0.0072887018312752724,0.00025827298274259795
feature_dexterity14,0.007417848945177115,0.0008130050305407448
feature_dexterity6,0.009596566309672162,0.0009098765863249288
feature_dexterity11,0.010627165968862906,0.0007590814500914941
feature_dexterity7,0.010671240452301953,0.0014320090411233696
feature_dexterity4,0.01069396355246188,0.0016718182304823763
