mean,std
PCA_10,-0.003542737104657556,0.0003949459813937603
PCA_7,-0.0025364764643630937,0.0007238262897289002
PCA_8,-0.0023960942154079615,0.001384035747240043
PCA_5,-0.002350353336468137,0.001310424343429911
PCA_13,-0.0017749042556372571,0.0012330389530264081
PCA_16,-0.0017402031342685748,0.0013933869611520155
PCA_3,-0.0014220099365135264,0.00117725272509987
PCA_2,-0.0012639582159082242,0.0006398134883793255
PCA_17,-0.0007851187289819019,0.00042505031937456207
PCA_15,0.00044663561354194606,0.0002485440198131757
PCA_6,0.000718965331052074,0.00044844826992425526
PCA_4,0.0017845308847665772,0.0008097707554632409
PCA_9,0.0020363994023982366,0.0015977279630035237
PCA_14,0.003331995751956623,0.0017060560910339552
PCA_0,0.0051990154154453036,0.00027020853890433573
PCA_12,0.007560883261085233,0.0012833255202110204
PCA_11,0.010095239719340733,0.0009166675824579227
PCA_1,0.015059184953110113,0.0014332303754748938
