mean,std
noise_7,-0.0031519764621282045,0.0011906197527340383
noise_5,-0.002509625309988731,0.0008822634252948908
noise_1,-0.0008365759951173634,0.0008731736232589028
noise_2,-0.00024235592967724231,0.00017559255543256663
feature_dexterity10,0.00024923300560835896,0.0006440121206799809
noise_4,0.0004438510944773458,0.0007424337027034017
noise_3,0.00048594174174531723,0.000623012692937456
noise_6,0.0012545314774937892,0.00043809609194179946
feature_dexterity2,0.002783288835667213,0.00041310966743978177
feature_dexterity1,0.002994411425109191,0.00022725415828586044
feature_dexterity13,0.003387858452616727,0.000700941045988018
feature_dexterity9,0.005239654742699656,0.0010028881644831692
feature_dexterity5,0.005718773634034036,0.0005079276837833599
feature_dexterity3,0.007535342647380122,0.0015182967590329373
feature_dexterity8,0.007989872164635441,0.0007591201993298533
feature_dexterity12,0.009059754044688615,0.00032284741169536115
feature_dexterity6,0.00910110751099675,0.0012208651981652884
feature_dexterity14,0.009662504212559255,0.00035865842436383626
feature_dexterity11,0.010437019138350477,0.000895195195020993
feature_dexterity7,0.010678002464875465,0.0013254853564008007
feature_dexterity4,0.010683593859096929,0.0013421363329597813
