mean,std
feature_constitution58,-0.00044754782137110217,0.00010727966764031181
feature_constitution76,-0.0003689263443821393,2.8148175096178305e-05
feature_charisma22,-0.00032987060693354803,0.0003846172877650019
feature_intelligence6,-0.00030086678982829196,7.011104785466018e-05
feature_charisma44,-0.0002582963361516529,0.0001412959957507528
feature_constitution52,-0.00024281717881649993,0.000237513661815512
feature_intelligence9,-0.0002366159198637977,0.0002109387664876433
feature_constitution86,-0.00023000033681781036,0.0002566392919613862
feature_constitution84,-0.00022081609319082654,0.000243878210515479
feature_constitution53,-0.00021869749369986865,0.00019520607677783888
feature_constitution83,-0.00021815568483884084,0.00010875294558793578
feature_constitution40,-0.00019873946599402296,0.00010934626036408928
feature_charisma40,-0.00019595476312271395,0.00020904145047617823
feature_charisma31,-0.00019375410126986964,0.00024927254663857765
feature_constitution105,-0.00019298244640611253,2.3475981313389666e-05
feature_charisma11,-0.0001899534571813556,0.00018672875891681594
feature_strength13,-0.0001875860754272234,0.00010999798223981308
feature_charisma49,-0.00017408380727990978,0.000132511131197446
feature_charisma2,-0.00017168249877628168,0.00036473200936239084
feature_charisma34,-0.00017062984782802894,5.8392190161564026e-05
feature_charisma35,-0.0001691087286770708,4.263998027663694e-05
feature_wisdom15,-0.00016447166204029763,0.0003399312532092319
feature_charisma36,-0.00015474364458285548,0.00017787334306511947
feature_charisma59,-0.00013301567126476093,0.00013610462196840414
feature_constitution4,-0.00013188406498965979,6.506885145293325e-05
feature_constitution78,-0.00013104262616544233,1.9987876575420577e-05
feature_charisma81,-0.0001272466323897949,9.616645906818866e-05
feature_charisma17,-0.00012321931913361256,0.0002340908663090255
feature_constitution66,-0.000122580402357968,7.625645129551365e-05
feature_charisma20,-0.00012128026290192975,0.00016403351624338258
feature_strength14,-0.00011735579481654535,0.00019377487981844658
feature_charisma68,-0.0001115326814992962,0.00012509464084894053
feature_charisma42,-0.00010899772012331142,0.0001072438374135422
feature_charisma7,-0.00010810178086760612,1.6529606778438984e-05
feature_charisma23,-0.00010143736148360764,0.0002613953397225839
feature_charisma38,-0.00010133750969890283,3.926483304804168e-05
feature_strength8,-0.00010065419178449047,6.856336416234463e-05
feature_strength21,-8.33337297984407e-05,0.0005720684631261374
feature_constitution90,-7.4435679387993e-05,0.0003175772330511254
feature_charisma56,-7.242419178729828e-05,0.0001538583056735932
feature_constitution107,-6.869381432096212e-05,7.53244209275219e-05
feature_wisdom24,-6.500969121942549e-05,3.713981475348526e-05
feature_constitution27,-5.892792509044489e-05,9.872758375573e-05
feature_strength2,-5.6402919422924486e-05,0.00014916076367990836
feature_wisdom32,-5.390124870264189e-05,0.00032158652803274937
feature_dexterity3,-5.3221507080489304e-05,0.00011331404840860954
feature_charisma8,-5.0155590934037404e-05,0.00025488972812711416
feature_constitution20,-4.6550391390082175e-05,4.5214622301197604e-05
feature_charisma12,-4.3884806554674484e-05,0.0001475619500970725
feature_constitution37,-3.4682823903757025e-05,5.676489149101586e-05
feature_constitution101,-2.664546228045999e-05,0.0003538475699012402
feature_dexterity5,-1.7020703379192313e-05,0.00011523605796735084
feature_constitution21,-1.693029326654482e-05,5.634223753140694e-05
feature_intelligence12,-8.648705796343896e-06,5.6711139725461856e-06
feature_wisdom33,-5.3466610841104e-06,0.00018997145436117874
feature_strength9,-3.6839942056093985e-06,6.503664596852013e-05
feature_charisma84,-3.5441428780982245e-06,2.3228306372011943e-05
feature_charisma15,-9.55385829448236e-07,8.147199580974229e-05
feature_charisma78,2.5317977588536442e-06,7.914718176931787e-05
feature_constitution82,3.1702083219655567e-06,6.734578588826744e-05
feature_constitution81,5.75257359562089e-06,2.660613192306141e-05
feature_strength7,7.098809623832934e-06,7.020563207990192e-05
feature_charisma1,9.040720645991867e-06,1.6985376655413626e-05
feature_charisma33,1.0369424184901541e-05,5.349488428558978e-05
feature_charisma29,1.3433943398538268e-05,9.129785369834806e-05
feature_constitution48,1.424201329495178e-05,2.366873347873948e-05
feature_constitution49,1.76622782982262e-05,0.0003653497125223944
feature_wisdom11,2.059211390832441e-05,0.0001233469601825858
feature_constitution42,2.080852415933618e-05,0.000239418864021428
feature_wisdom4,2.493523423334408e-05,2.36536816552207e-05
feature_strength5,2.5326376855872213e-05,0.00010206339299727164
feature_intelligence8,3.0597379774328154e-05,7.183205200497376e-05
feature_wisdom31,3.196238603604668e-05,0.00015265786929750442
feature_constitution99,3.275194806231558e-05,3.62504972440513e-05
feature_charisma70,3.6066405861985834e-05,3.275966739765131e-05
feature_constitution26,3.783919488873438e-05,0.00027849944850821286
feature_wisdom13,3.974505095370568e-05,4.088035088539759e-05
feature_wisdom26,4.059429483946371e-05,0.00036796743174502387
feature_charisma83,4.185926418835272e-05,0.00013772687232893306
feature_intelligence1,4.563265423944895e-05,9.964808925008183e-05
feature_charisma72,4.5709903790599624e-05,2.6325969413561573e-05
feature_strength28,4.640719430045566e-05,9.68334475123498e-05
feature_charisma9,4.74165684792358e-05,3.717372314698329e-05
feature_charisma28,4.772338265200413e-05,2.0325874229014846e-05
feature_charisma51,4.774069690555879e-05,0.00016938806769463088
feature_wisdom27,5.154770285381388e-05,4.3809711598613185e-05
feature_constitution36,5.1679721146525556e-05,6.327294984794837e-05
feature_charisma50,5.215355915839906e-05,1.9353097877182036e-05
feature_wisdom29,5.358304976087349e-05,5.8854653884850125e-05
feature_charisma39,5.4344559586697983e-05,6.97070831732028e-05
feature_wisdom12,5.5696067340133087e-05,0.00012075584065483882
feature_strength23,5.739249850422129e-05,0.0001083364412699286
feature_charisma76,6.203403319175618e-05,0.00017744464582641756
feature_wisdom14,6.597544808569793e-05,6.272823993001612e-05
feature_wisdom41,6.92080199952705e-05,0.00011583741759579461
feature_charisma16,7.04338179190835e-05,0.00019697137605544652
feature_charisma71,7.084732961951583e-05,2.9036586431235333e-05
feature_strength31,7.501826093261402e-05,7.255365926710115e-05
feature_charisma82,7.568258755016485e-05,6.816244156017642e-05
feature_constitution106,7.699789335708134e-05,0.00016109242822480384
feature_constitution110,7.85601629914027e-05,6.755303262347842e-05
feature_charisma27,7.94334088507523e-05,8.900279925498072e-05
feature_dexterity8,8.24217656818023e-05,0.00015127935361051016
feature_constitution16,8.710234427715764e-05,0.0002294059640129346
feature_charisma25,9.083381618724006e-05,2.3822124674063526e-05
feature_wisdom44,9.306713747862062e-05,8.904014762452e-05
feature_constitution88,9.431495606903279e-05,0.00011004150379900924
feature_charisma5,9.846194435016577e-05,0.0001681723252365064
feature_constitution68,0.00010339735979000046,0.00016526577646992086
feature_constitution70,0.00010570297404330841,8.888951954828842e-05
feature_wisdom16,0.00010608766075209939,0.00012468695533333123
feature_constitution112,0.00010840274766679959,0.00011878373685690186
feature_constitution45,0.00011495410473570397,7.91473162915708e-05
feature_charisma37,0.00012036395301359486,0.00011955138067656721
feature_constitution79,0.0001221246696217289,0.00014973989002440565
feature_constitution2,0.00012462358108110836,0.0001290036258257559
feature_wisdom28,0.00012471513174144478,9.722128442350753e-05
feature_wisdom30,0.00012584289068676892,0.000128521642764504
feature_strength36,0.00012630386497645445,0.00016797937729755562
feature_constitution29,0.0001300644219796051,5.50011167122942e-05
feature_constitution23,0.00013196105445522632,0.00012496175370889807
feature_wisdom17,0.00013237782319571923,0.0002591590709677275
feature_charisma80,0.0001325264811545044,0.00019490856099941265
feature_charisma32,0.00013335059062019364,0.00018986660635692841
feature_strength33,0.0001370192754565871,0.00036611396166028943
feature_wisdom40,0.00014507794128240068,9.217246077198426e-05
feature_strength26,0.00014777624563586879,0.00014980036448823935
feature_wisdom8,0.0001514769500654756,7.886872428902138e-05
feature_charisma43,0.00015303381044232342,0.00010977759468920991
feature_constitution51,0.0001595514244671274,0.00024616262708500666
feature_charisma4,0.000164304223017055,5.981153039731739e-05
feature_charisma26,0.00016689783356811896,0.00015839487450815783
feature_charisma67,0.00017059242030526703,0.00019080487705031016
feature_wisdom7,0.00017303833880159594,0.00010472393910366005
feature_constitution33,0.00017482010967670802,0.00011070000613484736
feature_intelligence10,0.00017596907371969853,0.0001269675734574003
feature_dexterity13,0.00017774479688850435,0.00010567462333289854
feature_constitution30,0.00017980142554962497,0.00018070869781724137
feature_constitution24,0.0001799571095321463,1.684010137813561e-05
feature_wisdom5,0.00018358205809385292,7.478702686349514e-05
feature_constitution47,0.00018551848806670478,0.0003826119756946065
feature_charisma69,0.00018685463059567263,9.710896681742751e-06
feature_strength3,0.00018686139452748918,3.0990160875049495e-05
feature_constitution102,0.00018749763667263961,0.0001710622098641547
feature_wisdom25,0.0001908414598910526,0.00017702123058870736
feature_charisma21,0.0001941201826833402,0.00014631407944507265
feature_constitution64,0.00019679309346618858,9.734407692729566e-05
feature_charisma61,0.0002046066572885111,0.00018688479562639976
feature_wisdom46,0.00020938669596576016,0.00015727461362519135
feature_charisma86,0.00021046373415845485,0.00016510705813000876
feature_charisma62,0.00021280173547149294,0.0002210932932611221
feature_charisma45,0.00021720811198678303,0.00029887427878903507
feature_constitution108,0.0002240361558743903,0.00011070440598412216
feature_constitution10,0.000224951675527105,0.000246460721523316
feature_charisma14,0.0002304215707735571,0.00018860751707414346
feature_charisma47,0.00023437101716606025,0.0001651624897651354
feature_constitution69,0.00024193658406718591,0.0003846401941762596
feature_strength38,0.0002450505593512295,4.889904754412024e-05
feature_constitution17,0.00024639889303381817,1.5096280314673375e-05
feature_constitution111,0.0002498767283654405,0.00021604433764189394
feature_constitution91,0.0002511882519375384,0.00017051732069313486
feature_strength12,0.0002517163412890837,0.0003193087121952164
feature_constitution77,0.0002532606313324806,9.384981271435197e-05
feature_charisma6,0.0002556609166268639,6.678130840877417e-05
feature_intelligence5,0.00025819880423511656,0.0001709749572393467
feature_constitution74,0.0002602827318423804,0.00012726794918559126
feature_strength17,0.00026598884757688166,0.00024190320152335385
feature_strength16,0.00026745113217360505,0.0002429114496529028
feature_constitution89,0.0002675830962341309,0.0001012695000429825
feature_wisdom21,0.00026787731403343513,2.8210631240484297e-05
feature_strength25,0.0002766119755597129,0.00010161695931206453
feature_strength24,0.0002884212565899892,0.00022101761006953097
feature_constitution3,0.0002886405632711281,0.000173876479440907
feature_wisdom9,0.000290353965648901,0.0002570535292027014
feature_charisma13,0.00029573887566278933,0.00011217347795788819
feature_charisma10,0.0002968874415474639,0.0003010020767063156
feature_constitution71,0.0002989619030908689,0.00034620809499416794
feature_dexterity11,0.00029943432419434927,0.00015134928007673722
feature_charisma57,0.00030030180967864666,0.00022828341640357167
feature_dexterity10,0.00030258077206477707,0.00015718832495354747
feature_charisma3,0.0003042037278492903,0.0001548502469388413
feature_charisma65,0.00030704329129200214,0.00015670903636071126
feature_strength22,0.000308188645758383,0.00010385762252793921
feature_charisma85,0.0003084010902596612,0.0001800784242908152
feature_wisdom6,0.00030988399772226,0.00030536250307371685
feature_charisma73,0.0003221152220369426,0.0002898310311976474
feature_constitution104,0.0003226523863559722,0.0002717581341401942
feature_constitution87,0.00032294219907700244,0.00031246905909410727
feature_constitution94,0.00032693593071015693,0.00014649177606289638
