,mean,std
feature_intelligence6,-0.00048073331901808073,0.00020992459891820524
feature_charisma76,-0.0003937184861490135,0.00017693277549362342
feature_constitution90,-0.000353010358847082,0.0003165970040293354
feature_constitution84,-0.000284417478342532,0.00021928554525858752
feature_wisdom32,-0.0002648538679060463,0.0006170554440953331
feature_charisma1,-0.0002544779476490413,0.00021677990538382152
feature_constitution13,-0.0002436102754224409,0.0001234793341237264
feature_strength9,-0.00019326658926861577,0.00019780798584611274
feature_charisma26,-0.00019081063554378082,0.00017563344419713216
feature_charisma35,-0.00018248538061909202,0.0001889829554877309
feature_constitution111,-0.0001819683299552916,0.00012618740404064728
feature_charisma29,-0.00015999135656294755,0.00017960919310179647
feature_constitution12,-0.00013481482504466662,0.00011755586019924534
feature_constitution10,-0.00012770689437186793,0.00010836204227430811
feature_constitution105,-0.00012725982753777516,7.548479418005207e-05
feature_strength31,-0.00012682706726444045,0.00018013240850226332
feature_wisdom33,-0.00012237501765007024,0.00010959470416674012
feature_charisma51,-0.00011867531905984793,0.0001192168645583552
feature_constitution26,-0.0001050300816870924,0.00031049797788989045
feature_intelligence10,-9.417876515169827e-05,0.00013890591676945957
feature_charisma9,-8.808950254903551e-05,9.360318621584756e-05
feature_strength28,-8.561952427945712e-05,0.00012486153563144185
feature_constitution57,-8.23065271396067e-05,9.76249503736316e-05
feature_charisma38,-7.473516214405934e-05,7.77598256339247e-05
feature_strength2,-7.02565314510319e-05,0.00013068110574670803
feature_strength5,-6.463281100129065e-05,4.260812598872855e-05
feature_charisma80,-6.126408172468011e-05,9.449353282376247e-05
feature_charisma82,-5.9747109395640295e-05,0.0001692200761510566
feature_charisma73,-5.446889037100993e-05,5.532881489934946e-05
feature_charisma49,-4.4138441607650645e-05,8.401239215840024e-05
feature_constitution42,-4.123751344333118e-05,2.4235949684305274e-05
feature_constitution16,-3.337828892955506e-05,3.3167400952580093e-05
feature_strength14,-3.212136184262337e-05,7.59328926460582e-05
feature_strength20,-3.0612819444055855e-05,0.00018231526801555602
feature_constitution64,-2.938289602078792e-05,0.00011326120742700659
feature_constitution52,-2.5875670757107357e-05,9.447741424907407e-06
feature_constitution99,-2.541065312448593e-05,5.2403164361638455e-05
feature_dexterity8,-1.5139974592859545e-05,0.00021232506364657073
feature_wisdom45,-1.2971924828240103e-05,3.71514319369361e-05
feature_strength13,-1.2451498017685842e-05,4.26006832194354e-05
feature_charisma64,-1.150047820905012e-05,3.41416104564014e-05
feature_strength24,-8.336345897567507e-06,0.00015493689001192857
