,mean,std
PCA_71,-0.00031194389600219563,0.0001728280688893933
PCA_26,-0.0001897413576733016,0.0001433307165538546
PCA_148,-0.00015038912200052442,8.743639837834468e-05
PCA_210,-0.0001422717832672707,0.00015360242484901708
PCA_67,-0.0001370996458875395,6.971888005419075e-05
PCA_10,-0.00013409940184850395,9.82284780816278e-05
PCA_191,-0.00012846285846781038,8.144434799003491e-05
PCA_57,-0.00012764593840265882,0.0001559992415599602
PCA_25,-0.00011655273949247133,5.848742412459532e-05
PCA_180,-0.00011304709035278019,0.0001316441466307941
PCA_99,-0.00011264803930513831,6.608992632544811e-05
PCA_145,-0.00010785348285413477,0.00011209688852188503
PCA_201,-0.00010491983911283767,9.834325248244243e-05
PCA_74,-0.0001033905045924745,5.671418550652965e-05
PCA_197,-0.00010212576613854268,9.89173749505567e-05
PCA_94,-0.00010113985270408534,0.00010752381522153885
PCA_24,-9.152844411344618e-05,0.00013764249909375728
PCA_232,-9.079593632152544e-05,0.00012148971395920313
PCA_110,-8.475696044606914e-05,9.656188251658912e-05
PCA_107,-7.856692207400934e-05,5.071334655717093e-05
PCA_49,-7.763498843782423e-05,5.4827622759208746e-05
PCA_44,-7.490044910621022e-05,0.00012627967644445175
PCA_234,-7.475159827773477e-05,4.008500601909139e-05
PCA_92,-7.33688940008898e-05,2.7908799276409026e-05
PCA_138,-7.153077525008621e-05,3.192932264027219e-05
PCA_56,-6.8195055277909e-05,0.00010782952642884927
PCA_168,-6.724220045447691e-05,4.9091591440089186e-05
PCA_163,-6.654851261597869e-05,5.5268014228311075e-05
PCA_200,-6.5953239806532e-05,3.654790290697368e-05
PCA_60,-6.266062939017323e-05,1.9378778750549635e-05
PCA_101,-6.251909901449211e-05,4.1736463935231935e-05
PCA_78,-6.20244347621565e-05,3.862583825198306e-05
PCA_112,-6.140115008022822e-05,0.00024079654261448136
PCA_188,-6.009290752266928e-05,4.598973813547337e-05
PCA_146,-6.0053076107690445e-05,2.6152659839211037e-05
PCA_103,-5.9618893579684724e-05,9.090354024161168e-05
PCA_144,-5.57143639292664e-05,4.50552285865625e-05
