,mean,std
PCA_41,-0.0003973459683953922,0.0003376751321740144
PCA_45,-0.0003879431759598239,0.00014282896147232375
PCA_102,-0.00037052736639138235,0.00010485923308813325
PCA_94,-0.00036654804654642184,0.00013594075062281852
PCA_134,-0.00026704642868068487,0.00013378769546227694
PCA_67,-0.00026114453440262013,0.00016562782672695987
PCA_160,-0.0002401281955648099,0.00011789642617406981
PCA_171,-0.00022892819376114145,6.620041855641908e-05
PCA_210,-0.0002219106530864962,0.00012052892011995058
PCA_93,-0.00020183952561320765,3.7043360095443336e-05
PCA_232,-0.00020158823544359056,9.697459267529289e-05
PCA_178,-0.00019969389696513772,9.021696342558163e-05
PCA_44,-0.00019247918916542582,0.00018099652771133294
PCA_49,-0.00018751027258797498,5.87372793142526e-05
PCA_12,-0.0001828555499925473,0.0001437874365738787
PCA_177,-0.00018061909157617882,9.394780852426315e-05
PCA_166,-0.00016843890948971342,2.9767450911588793e-05
PCA_222,-0.00016616759366387603,0.00016010884991017363
PCA_78,-0.00016323325107294267,0.00020832481731487286
PCA_71,-0.00016115489220242717,4.749720052327333e-05
PCA_13,-0.00015559819360994382,0.00028328878259046767
PCA_25,-0.00015240806490240263,9.540684662246627e-05
PCA_22,-0.00014528580553319133,0.00016315270330750928
PCA_132,-0.0001452088356133854,0.00020796116206438334
PCA_110,-0.0001446566882509503,0.00011458413454762831
PCA_169,-0.0001406717289456661,9.293494395265542e-05
PCA_95,-0.0001356938947493334,5.6174621671147396e-05
PCA_80,-0.00012831223577179887,0.0001134226605042714
PCA_65,-0.00012781449918843353,7.590225956231936e-05
PCA_170,-0.0001265075547098138,0.00019670749326772618
PCA_158,-0.00012588767105018098,0.00019036386046203477
PCA_144,-0.00012579216368195962,6.417503238695906e-05
PCA_186,-0.00012513558126248637,0.00017467010895742935
PCA_184,-0.00012286175597587398,5.537087585964436e-05
PCA_96,-0.0001216903548705266,0.00013428067300959737
PCA_40,-0.0001213142918267013,0.0003364741089300331
PCA_193,-0.00012110486543505242,1.4944995094852868e-05
PCA_107,-0.00011973103642048414,0.00013152748869596308
PCA_98,-0.00011779634444940316,0.00017067343487600417
PCA_176,-0.00011407468909309307,5.518233471934531e-05
PCA_167,-0.00011282772464770883,7.52679380115994e-05
PCA_137,-0.00010795453008496178,7.350928114749139e-05
PCA_152,-0.00010407961862172218,5.144348203154577e-05
PCA_92,-9.985548800296239e-05,4.8499085503305903e-05
PCA_207,-9.906893251985485e-05,4.4341442137938e-05
PCA_236,-9.475498543261677e-05,3.559462036955333e-05
PCA_42,-9.445753646278479e-05,9.801015431883843e-05
PCA_225,-9.227287921525645e-05,2.8901897169589573e-05
PCA_133,-9.053279337648699e-05,9.530362822230684e-05
PCA_180,-8.929259948904406e-05,8.963762027835737e-05
PCA_182,-8.562462946912375e-05,0.00012335157263681964
PCA_214,-8.410619638469793e-05,8.066215452338779e-05
PCA_5,-8.376688699311247e-05,0.00021731898963472623
PCA_118,-8.134868437551124e-05,3.955513476579216e-05
PCA_165,-8.115260161967783e-05,3.607551652891322e-05
PCA_168,-8.024505537630019e-05,2.8093657920019504e-05
PCA_117,-7.499776754321783e-05,0.0001621953225179256
PCA_146,-7.278836739561486e-05,2.0544430555415744e-05
PCA_237,-6.997079640987628e-05,9.264377087049554e-05
PCA_183,-6.899527275183648e-05,4.3156570541030326e-05
PCA_194,-6.749783875793218e-05,3.5013649559365685e-05
PCA_27,-6.25058388921025e-05,0.00019797754204406827
PCA_101,-5.88976640199271e-05,0.00010123026554918712
PCA_162,-5.7433607121762664e-05,5.764689045449044e-05
PCA_145,-5.580128765472219e-05,0.0001311431184503681
PCA_198,-5.2654728652062726e-05,4.7116916854112056e-05
PCA_155,-5.238601536195015e-05,5.902365489198707e-05
PCA_234,-5.237367161443964e-05,5.5930998640371346e-05
PCA_187,-4.936064853962738e-05,9.047677564204696e-05
PCA_73,-4.867052841396132e-05,2.7061028516216793e-05
PCA_36,-4.850701159541428e-05,8.519040894931315e-05
PCA_185,-4.769041859326562e-05,2.920643375340784e-05
PCA_205,-4.7499091675747215e-05,4.1744677389186124e-05
PCA_239,-4.403364083744936e-05,3.1589927173119224e-05
PCA_223,-4.17798910267988e-05,2.3369868125782276e-05
PCA_99,-4.117030134352852e-05,0.0001418439859863675
PCA_233,-3.8397088655716745e-05,4.002071198979403e-05
PCA_135,-3.802385033753744e-05,3.2252807248467245e-05
PCA_128,-3.7960674189637944e-05,5.229746611188931e-05
PCA_56,-3.5399305938778195e-05,5.532176889835351e-05
PCA_188,-3.505391196031581e-05,7.822411767332971e-05
PCA_108,-3.227984197559802e-05,3.6363493991859575e-05
PCA_90,-3.214977210860189e-05,7.027898888331335e-05
PCA_201,-3.003570368772133e-05,0.00010489008981316139
PCA_91,-2.955398252140646e-05,0.0001725185963687165
PCA_122,-2.9083859963953437e-05,9.171895203372947e-05
PCA_14,-2.2600547314346802e-05,0.00010642908806529996
PCA_238,-2.1649041958180256e-05,5.995583264028405e-05
PCA_189,-2.069016588009104e-05,6.305983085817015e-05
PCA_120,-2.0184653647892247e-05,8.735725448558351e-05
PCA_235,-1.9267692786887133e-05,3.3295083554111986e-05
PCA_190,-1.7373119897883655e-05,0.00011131884997516421
PCA_66,-1.6739275655660638e-05,5.9650724154233526e-05
PCA_215,-1.5379773192175534e-05,5.4945855624941256e-05
PCA_212,-1.3205579085978781e-05,1.0652713522546098e-05
PCA_191,-1.230543662348638e-05,0.00011422844353085048
PCA_226,-1.177317235750566e-05,3.94676593030622e-05
PCA_172,-1.1596182449934901e-05,4.2758620048930636e-05
PCA_208,-1.0910424905032187e-05,5.942687996540107e-05
PCA_200,-1.0669576292516795e-05,8.839032036734257e-06
PCA_105,-9.880244959334664e-06,2.2862572052573902e-05
PCA_199,-7.433918550785422e-06,6.126056859321775e-05
PCA_87,-6.447160719444075e-06,7.317037949911709e-05
PCA_82,-6.3305776576479274e-06,8.171482972374762e-05
PCA_148,-3.7914436346800763e-06,7.5072216978223e-05
PCA_34,-3.348776006686282e-06,2.9233644261534695e-05
PCA_88,8.913551835724112e-07,0.0005213609572303679
PCA_116,3.67887771996045e-06,4.55638224117488e-05
PCA_206,4.848193776457658e-06,5.030049316496739e-05
PCA_86,6.911324751183263e-06,0.00011154033380337709
PCA_213,8.845450912030783e-06,1.4176708812133544e-05
PCA_209,1.0638591101586142e-05,4.199530858305205e-05
PCA_181,1.4189164749889987e-05,4.7571670944571754e-05
PCA_230,1.4597379085907482e-05,3.900976557510893e-05
PCA_89,1.6465488670486386e-05,7.3432600688781e-05
PCA_216,1.6763976742137283e-05,0.00011278929302159956
PCA_121,1.6835080681329277e-05,0.00012116402532971072
PCA_192,1.691093593928977e-05,2.150403077031613e-05
PCA_114,1.8662764655605563e-05,0.0002331948085275343
PCA_115,1.9716450746450265e-05,7.98103556843307e-05
PCA_64,2.111998891222251e-05,0.00012345375014300423
PCA_150,2.2701812690015312e-05,9.50488944889062e-05
PCA_221,2.4924253381915768e-05,4.256500729441324e-05
PCA_37,2.6107747921478804e-05,0.0005096764394367574
PCA_211,2.6972368845817464e-05,2.123595969927824e-05
PCA_112,2.7292666275517443e-05,0.00013976410357512974
PCA_156,2.772548756754819e-05,6.420188065930928e-05
PCA_219,3.149734763671574e-05,5.237847725151123e-05
PCA_195,3.200467974648365e-05,1.4223605176577329e-05
PCA_131,3.698716634630034e-05,5.6625542331577556e-05
PCA_217,3.841961194855473e-05,4.9851326530692514e-05
PCA_74,3.961503422247525e-05,0.000111497509172511
PCA_38,3.978987821395092e-05,4.715071373782389e-05
PCA_138,4.150718309300484e-05,0.00013079494598922738
