,mean,std
feature_charisma51,-0.0005224207065681438,0.0004769977355914181
feature_charisma65,-0.00041451322397632455,0.0002361810388203215
feature_constitution78,-0.00040627216037302855,0.0003070027979504628
feature_constitution29,-0.00036918651223418576,9.382830614945037e-05
feature_constitution55,-0.00034510279472858233,3.94333746226783e-05
feature_constitution58,-0.00031628148402352755,0.0001407403161784768
feature_charisma20,-0.0003024408718834966,0.00010489291296768603
feature_dexterity5,-0.0002935138398348601,0.00018190693592179258
feature_constitution108,-0.0002916895891425597,0.00015471816644484495
feature_charisma71,-0.00028151768459669363,0.00021230556049028904
feature_charisma73,-0.0002766991704653643,0.0004655952351750858
feature_charisma58,-0.00026994042959323277,0.0001544210225814572
feature_constitution44,-0.00025847233894999875,0.00018426054054471
feature_constitution12,-0.00023462159882687252,7.678538824467421e-05
feature_constitution69,-0.00023298555891691766,0.00015658645635021335
feature_charisma86,-0.00022382809302964388,0.0001229306594118183
feature_constitution41,-0.00022368267809426252,0.00011866834128984156
feature_strength20,-0.00021474357539060852,0.0005640961513750408
feature_charisma25,-0.00021201462378954913,0.00027101872094432376
feature_strength2,-0.00020492980393549472,0.00017425988895169235
feature_strength5,-0.0001962111186255259,0.00019096332080305415
feature_constitution101,-0.00019088435889905498,0.00015512394861824744
feature_strength25,-0.00018995438898667237,0.00013321781024109146
feature_charisma41,-0.00018605002677532612,0.00017471469660446497
feature_charisma31,-0.0001751829272340796,0.00010091942203084135
feature_constitution52,-0.00016408829639256062,0.00013872259646055071
feature_constitution104,-0.00016000106442088483,0.0001313801327489036
feature_strength21,-0.00015439600649458629,0.00012093229376016261
feature_constitution21,-0.00015080597587732825,7.447677265844712e-05
feature_charisma49,-0.0001395477390337856,0.0005469081494947325
feature_strength38,-0.0001390944359179087,0.00013371054236423067
feature_charisma7,-0.00013442094637601708,0.0001625815695447592
feature_constitution89,-0.000133056654215116,7.948406454667055e-05
feature_strength16,-0.0001254575923246785,8.543090803005138e-05
feature_charisma40,-0.0001240005764667263,0.00013288814401484864
feature_constitution33,-0.0001211179024642011,2.845048558633559e-05
feature_wisdom29,-0.00011987839017937574,4.683408581293669e-06
feature_constitution47,-0.00010979762082279425,4.2098625025049494e-05
feature_constitution93,-0.00010951154554228447,2.9231262286977075e-05
feature_intelligence10,-0.00010908865344709587,1.7339359970875723e-05
feature_charisma11,-0.00010827419782285596,4.162359147869622e-05
feature_wisdom17,-0.0001052770259598245,6.111492084368953e-05
feature_charisma12,-0.00010489177997228623,2.045635592828922e-05
feature_charisma30,-0.00010437132021932987,3.2904503852756164e-05
feature_charisma6,-0.00010312327486650488,9.849046976766695e-05
feature_strength31,-0.00010289573864422917,0.00010924401815726933
feature_constitution95,-0.00010203555945055623,0.00010012962366606003
feature_charisma10,-0.00010151955671870894,0.00023904837027918772
feature_charisma38,-9.640863949173337e-05,3.641324844238875e-05
feature_constitution31,-9.625786037123573e-05,9.641253455643511e-05
feature_intelligence5,-9.32920056516445e-05,0.00010301757410564056
feature_charisma80,-9.227154383823978e-05,9.277813051427988e-05
feature_constitution51,-9.184275628116467e-05,0.00013829594224992642
feature_constitution19,-9.168848692347037e-05,7.652992449447038e-05
feature_constitution66,-9.117466872802747e-05,0.00011726985380046969
feature_charisma21,-9.027754095035325e-05,0.00010666960768241556
feature_wisdom31,-9.014694654242409e-05,0.00011514566141981585
feature_charisma17,-8.92585574351855e-05,0.00013551255869031597
feature_charisma43,-8.822057441836791e-05,0.000154217005069515
feature_charisma44,-8.750501288234112e-05,9.193376625435392e-05
feature_wisdom16,-8.371861459839912e-05,1.9915576813096898e-05
feature_constitution103,-8.32811000234487e-05,4.22546525184594e-05
feature_constitution70,-8.179472266769566e-05,1.5412028326659605e-05
feature_constitution76,-8.085717798575011e-05,1.2972328127024372e-05
feature_wisdom37,-7.972581326444632e-05,0.00011928191588812176
feature_strength23,-7.622236927834288e-05,7.388620580296181e-05
feature_constitution40,-7.471608896559732e-05,2.973043135361051e-06
feature_constitution30,-7.311669409093201e-05,9.970182251104935e-05
feature_constitution63,-7.286171993211145e-05,4.1157452463217635e-05
feature_constitution13,-7.205347245893644e-05,2.1649218050588777e-05
feature_charisma68,-6.993460809336734e-05,2.7495854263619716e-05
feature_constitution79,-6.494323764667017e-05,1.37646062870173e-05
feature_intelligence8,-6.412476696190213e-05,0.00018925638949613918
feature_charisma64,-6.322750434492964e-05,4.5626994638501776e-05
feature_strength33,-6.322648228016817e-05,0.00014269300222273762
feature_constitution56,-6.251623174583636e-05,9.279265063568932e-05
feature_wisdom9,-6.097096323556587e-05,4.4362987105094935e-05
feature_wisdom12,-5.820740230077408e-05,0.0001347017356195632
feature_charisma82,-5.652135300120184e-05,5.743699740756279e-05
feature_constitution82,-5.632720611921155e-05,3.069754938522415e-05
feature_constitution68,-5.4997247526768656e-05,6.945358393368458e-05
feature_constitution50,-5.418749503523341e-05,4.664385003083332e-05
feature_constitution86,-5.279597086134469e-05,0.00013281453737311116
feature_constitution17,-5.1263469155553836e-05,5.675792278414055e-05
feature_wisdom44,-5.0720491224515365e-05,2.0889172718099916e-05
feature_constitution16,-5.036067546999076e-05,7.454578836560823e-05
feature_constitution18,-4.850558180852405e-05,0.0002317137519138607
