,mean,std
feature_charisma73,-0.0005337535072556129,0.0003898334724889447
feature_charisma84,-0.00045913450878094444,0.00014877173464002323
feature_charisma65,-0.00041996119478730456,0.00025940538500910786
feature_strength2,-0.0003995236196163967,0.00015231081645678565
feature_charisma10,-0.0003733919743426398,0.000268620706011212
feature_charisma25,-0.000371117835280903,0.00022988309144748018
feature_strength15,-0.00035736620257649905,0.0003431626905301384
feature_intelligence7,-0.00034552106573005915,0.00024717194482346087
feature_charisma58,-0.00032534501937095064,0.00014869246569891443
feature_strength5,-0.00029955218936646193,3.9084561587519937e-05
feature_charisma17,-0.00028784059306155395,0.00016303009947332881
feature_constitution108,-0.0002678197955272293,8.221760383766519e-05
feature_charisma86,-0.0002663129861872029,9.356780171100723e-05
feature_charisma39,-0.00026295917742358185,0.0001649162307193044
feature_strength20,-0.0002616647914130108,2.2924106344139206e-05
feature_charisma64,-0.00025904595367194665,2.8249176891314642e-05
feature_wisdom11,-0.00024810459673466615,6.834836489211692e-05
feature_intelligence6,-0.0002391547861783778,0.00026753567897567793
feature_charisma12,-0.00023225154339937017,0.0001597489318946855
feature_constitution55,-0.00022423682804444456,5.505321795124131e-05
feature_dexterity8,-0.00022104473052670105,0.00014194587082873712
feature_charisma13,-0.00021707980665244676,0.00018321194558763003
feature_charisma51,-0.00021248959594659722,0.00018158637391185644
feature_charisma56,-0.00019918445778719109,0.00021901835238374786
feature_constitution78,-0.0001901342184146888,6.36301648863375e-05
feature_charisma23,-0.0001859427353481278,0.0001552762983464163
feature_constitution20,-0.00018184019308503758,2.53755400469623e-05
feature_constitution67,-0.00018103815517722934,0.00035812716823225264
feature_constitution52,-0.00017435639049270563,9.220176694407836e-05
feature_charisma82,-0.00017067191292895474,4.312850533397166e-05
feature_strength38,-0.00016547347863695393,5.476704483708995e-05
feature_charisma67,-0.0001649577449928661,0.0001781347504388674
feature_constitution87,-0.00016467069146101462,0.00026021130438017123
feature_strength24,-0.000156053474624037,7.260602000576041e-05
feature_constitution95,-0.00015602332722867475,0.0001257346645166968
feature_constitution60,-0.00015576514375266278,0.00018571329368810308
feature_wisdom14,-0.0001546988106431995,8.951869372108999e-05
feature_intelligence10,-0.0001462261982318714,0.00014688314373227594
feature_charisma20,-0.0001442335764056112,8.471036666503898e-05
feature_constitution12,-0.00014278994508992252,8.206000839994003e-05
feature_strength36,-0.00014140332804692243,0.00017843320472304974
feature_strength8,-0.00013521260863441677,4.74292461007285e-05
feature_charisma4,-0.00013245385335649147,0.00015652870673685208
feature_constitution21,-0.0001322396784891461,3.235749725236522e-05
feature_wisdom12,-0.00012712854552757605,6.535449579273362e-05
feature_strength21,-0.00012654184114833347,5.7408587305670625e-05
feature_strength25,-0.00012653207762674496,8.545864190379385e-05
feature_charisma71,-0.00012516837760872426,7.471983105390266e-05
feature_constitution62,-0.00012353569227781662,2.641867280544367e-05
feature_intelligence9,-0.00012322382115848265,0.00038422949359784016
feature_constitution41,-0.00012175135933105987,5.141360423719109e-05
feature_constitution33,-0.00012151246520665042,9.487932669155274e-05
feature_constitution40,-0.00012145189332147745,2.413205350782901e-05
feature_wisdom37,-0.00011978030640675948,7.565273498313684e-05
feature_constitution17,-0.00011768684262377018,7.035978237873528e-05
feature_constitution2,-0.00011636226826135829,7.162315934481014e-05
feature_constitution35,-0.00011498419061483896,6.0411424860477374e-05
feature_dexterity10,-0.00010523145433249073,0.00032001345702013367
feature_wisdom5,-0.00010460879349044677,8.890366300674212e-05
feature_constitution77,-0.00010449870415215046,3.8530603277208156e-05
feature_charisma11,-0.00010406206035595891,0.0001354451213644297
feature_constitution13,-0.0001031750268193947,3.269104958844144e-05
feature_constitution69,-0.00010170764559466023,6.839940863531934e-05
feature_constitution64,-9.880995009103384e-05,3.402261838748862e-05
feature_constitution91,-9.704748308470618e-05,0.00015562076259758694
feature_dexterity2,-9.627877921561838e-05,0.00019869586087465076
feature_constitution29,-9.592971294437596e-05,6.963248670151011e-05
feature_charisma49,-9.533700630029168e-05,0.00024241468635603333
feature_constitution30,-9.352255462443385e-05,5.7289058859335815e-05
feature_constitution8,-9.22694510226594e-05,4.1289856218731614e-05
feature_constitution38,-9.07155973722562e-05,0.0002123678866227957
feature_constitution70,-8.696142412837462e-05,3.898314678423127e-05
feature_charisma26,-8.625120601387253e-05,2.2956471985634907e-05
feature_constitution23,-8.587829078825762e-05,0.00019922951357025898
feature_charisma29,-8.216194419161548e-05,0.00014368630788518782
feature_constitution45,-8.053198283798955e-05,8.08128998984788e-05
feature_constitution42,-8.015748552469763e-05,3.719678851817898e-05
feature_wisdom44,-7.945675629851116e-05,5.380044245945047e-05
feature_constitution79,-7.911069937652876e-05,6.609486513742335e-05
feature_constitution75,-7.61708228177524e-05,2.5278141158351664e-05
feature_charisma15,-7.251699814415089e-05,0.00015315267304986501
