mean,std
feature_constitution101,-0.004719075554798785,0.0009533924059681711
feature_charisma22,-0.0043891312233357615,0.002301613608144923
feature_charisma60,-0.004295328119484212,0.002164470670925016
feature_wisdom43,-0.0037760499650778107,0.000433274289111827
feature_constitution86,-0.003725835453897123,0.0020333434627615938
feature_constitution54,-0.0029765560754829675,0.0008033438921558989
feature_constitution47,-0.0028208514999746464,0.000982277534124941
feature_constitution52,-0.0027639359150766784,0.0020528423761406464
feature_constitution94,-0.002707203988259594,0.0019193597277210419
feature_wisdom33,-0.002647955053828678,0.0005000978527027605
feature_constitution74,-0.002593214374482636,0.0003843106272275148
feature_strength37,-0.0025596965121730056,0.0001642912773870457
feature_constitution45,-0.002456245312312501,0.0010827582246257057
feature_constitution44,-0.0024129832539365264,0.00033856633841134734
feature_strength16,-0.002409667720702669,0.001449765732072154
feature_constitution5,-0.002353320198089566,0.0001642493775549484
feature_strength13,-0.0022415437390166594,0.001258298369643794
feature_constitution2,-0.0022211467534899404,0.00039328977825537324
feature_constitution88,-0.002210963347272647,0.002399496322845719
feature_constitution12,-0.0022099934969183783,0.0009143899112009974
feature_wisdom3,-0.002203398690885149,0.0010879095784696938
feature_constitution49,-0.002145400188090668,0.00192202893370877
feature_constitution90,-0.001924626912962289,0.0030364216979822576
feature_constitution53,-0.0018543573192571926,0.002669076734817735
feature_constitution69,-0.0017476084558075355,0.0018390501341332794
feature_wisdom45,-0.0017203447182147396,0.00035488548109025996
feature_strength5,-0.001706771158231296,0.002006942777933747
feature_wisdom11,-0.0016370317025783086,0.0008517728269107619
feature_charisma7,-0.0015741277846462272,0.0014885276009487802
feature_constitution66,-0.0015669289258199092,0.001530967136517474
feature_constitution23,-0.001565562361943252,0.000939584454699532
feature_intelligence8,-0.0015206316980414106,0.000524998535426262
feature_strength31,-0.0015027071589587668,0.0012776867292946792
feature_wisdom14,-0.0014693029929003763,0.00032553156112094815
feature_intelligence1,-0.0014413720987356503,0.0002397714457016232
feature_constitution95,-0.0014076327460197484,0.0021247280413247047
feature_wisdom22,-0.0012562925653335814,0.0009735798646543207
feature_constitution22,-0.001195551575400526,0.0007858595177575469
feature_wisdom29,-0.0011929893887019935,0.0007079583563827622
feature_wisdom19,-0.0011768406493990484,0.00205456395132739
feature_constitution32,-0.0011387616377824266,0.0003452978770301895
feature_strength36,-0.001116310285170944,0.0019335689363377206
feature_strength17,-0.0010645289985188968,0.001004175044250497
feature_wisdom17,-0.0010030888757123037,0.001096381430235864
feature_constitution25,-0.000830609979348433,0.0004082347082009367
feature_constitution106,-0.0008120574171908783,0.0005899525122641561
feature_strength10,-0.0007234561828124535,0.0026846850852330116
feature_wisdom2,-0.0007133471643155941,0.0019480968752439059
feature_constitution31,-0.0007130627191335518,0.0025730116377533463
feature_wisdom12,-0.0007044759097115349,0.0017315633918938572
feature_constitution99,-0.0006345463646445709,0.0014477944637693986
feature_dexterity10,-0.0005289838206899065,0.0006927922560008814
feature_constitution3,-0.0005029572904832416,0.0012863891851216456
feature_constitution48,-0.0004855956787500958,0.0008100870124014855
feature_wisdom4,-0.0004705804265640919,0.0004358900872893561
feature_constitution92,-0.00046789923530609847,0.0016647443603950208
feature_constitution77,-0.00046554660041848186,0.0008621895021859712
feature_wisdom24,-0.00045623417940106613,0.0007966841144953071
feature_strength15,-0.0002943203107424793,0.0029269011548031906
feature_wisdom1,-0.0002621384833350985,0.0009113208318294933
feature_constitution98,-0.00021340269841420954,0.002111900535430789
feature_constitution57,-0.00020662377272626228,0.00037271975154305336
feature_constitution75,-0.0001699049959678978,0.0006425971575871877
feature_wisdom16,-0.00014049898373696024,0.00043704991394532134
feature_strength6,-0.00013230393525799492,0.000611474678655542
feature_dexterity2,-0.00011529982472021528,0.0002986227806207737
feature_wisdom6,2.231447085884454e-05,0.0006395747716904631
feature_constitution64,2.966991808274969e-05,0.0020635995910665197
feature_wisdom30,3.529101151149525e-05,0.0012433861395103904
feature_constitution6,0.00016989478133158683,0.0012406844123868722
feature_strength2,0.00017332899616578942,0.002675948720112383
feature_constitution10,0.00017470709858236123,0.0013184221948169643
feature_constitution4,0.00020933049082252504,0.0031990095375862733
feature_constitution93,0.0005532997505958634,0.0010095152171558102
feature_wisdom7,0.0005723219499439027,0.0008669232020902452
feature_intelligence5,0.0005873213665977778,0.0006587898286769204
feature_strength29,0.0006597513458038003,0.0006556349330710642
feature_charisma25,0.0006643915282699012,0.0006265718654399039
feature_wisdom9,0.0007601662910374695,0.0005196277643997204
feature_intelligence12,0.0007897209037429721,0.0003430008958325428
feature_intelligence9,0.0008293088161391461,0.0026296506771271485
feature_wisdom46,0.000953426414611656,0.0009073968362073939
feature_constitution13,0.0009807640693170845,0.001752063934751655
feature_strength24,0.0012821784512654737,0.0003562149585649077
feature_constitution17,0.0013389998854759705,0.0010905278476512096
feature_wisdom28,0.0013527675073676784,0.0012599671401942022
feature_wisdom10,0.0014852284682260047,0.0017049770568755792
feature_constitution96,0.0014979213683382943,0.00017423300570584133
feature_wisdom25,0.0015111518768635042,0.0007855153868188109
feature_constitution79,0.001536950908307737,0.001818425716813273
feature_constitution55,0.0016006789770967996,0.001408913022411757
feature_wisdom34,0.001715229542052012,0.0007205346667078921
feature_strength18,0.0017640995086513364,0.0013157430740574148
feature_intelligence4,0.0018382434038171833,0.0004182418611621733
feature_charisma47,0.0018428620908795175,0.00046798516387539765
feature_constitution65,0.0021203632519182013,0.0008719431237511977
feature_constitution41,0.002209842489512589,0.0006220794887324696
feature_constitution27,0.0022802667628592697,0.0016113575846079527
feature_dexterity13,0.0023127275749688166,0.00047891299054667844
feature_charisma3,0.0023337224967993,0.0012339962808690828
