,mean,std
feature_strength29,-0.005159323119651344,0.0007823631413390544
feature_intelligence7,-0.004978866013164379,0.005065422836508167
feature_intelligence6,-0.004635424285958824,0.005137657793862661
feature_wisdom10,-0.0038174634407255152,0.00035167697630981884
feature_intelligence12,-0.0036956734976872595,0.003471027586692204
feature_constitution13,-0.003429538512765821,0.0005887568555588281
feature_intelligence5,-0.0033309136925096495,0.003624290763847202
feature_constitution90,-0.003298097347405446,0.0035867311658236835
feature_wisdom43,-0.003283829588251689,0.002115644938029777
feature_constitution4,-0.0031906556485975326,0.002061307458341321
feature_strength20,-0.0030683785405394275,0.00019126857156613695
feature_wisdom19,-0.0029437263024827097,0.0008035615893708404
feature_wisdom33,-0.002914359952116969,0.0009559105785972938
feature_constitution23,-0.0028041339670425085,0.0009179571116641309
feature_wisdom3,-0.002729225407187169,0.0003920120184730878
feature_strength24,-0.0026797682225941995,0.002567330370679096
feature_constitution79,-0.0026606017170735644,0.00048283172121091155
feature_intelligence1,-0.0026602709391588077,0.00016776372876212435
feature_constitution88,-0.0026238365359684407,0.0025694393097815834
feature_constitution49,-0.0025937119691961546,0.000616070807191846
feature_wisdom17,-0.0025303647906460406,0.000587497822605209
feature_constitution48,-0.0024927785818296736,0.003172826590271795
feature_constitution95,-0.002462746616463465,0.0006725758366228388
feature_intelligence8,-0.0024322390424408274,0.0008832283998320192
feature_wisdom22,-0.0024142233675678217,0.0006987726136310046
feature_strength38,-0.002391657229051918,0.00039360810886886004
feature_constitution27,-0.002377703649721474,0.0006641725684321477
feature_constitution77,-0.0023210065839421334,0.003046099022563825
feature_strength16,-0.0021953853991653707,0.0002506008539768193
feature_constitution7,-0.0020966897378546906,0.0008261721461142803
feature_wisdom45,-0.0020919294781119127,0.0008972673703380216
feature_constitution3,-0.0019038236609190435,0.0017892179246680488
feature_wisdom14,-0.0018095250385672314,0.0012319234510181811
feature_constitution35,-0.0017343219328696889,0.0016435094081085353
feature_constitution61,-0.0017054559969550862,0.0014764629375100269
feature_charisma47,-0.0016995381800469771,0.0015586571275622528
feature_charisma25,-0.0016707554075605336,0.0009350702735790589
feature_constitution94,-0.0016228484644950048,9.993708817189564e-05
feature_wisdom30,-0.0015591615686878942,0.0010267391664579093
feature_strength37,-0.0015152099700686105,0.0007859075297121302
feature_constitution10,-0.00139848910246084,0.002884953159222099
feature_constitution52,-0.001231910689945427,0.00010153818712928406
feature_wisdom16,-0.001212125053004008,0.0006274045275409069
feature_wisdom12,-0.0011262777386080705,0.0011419828099890608
feature_strength6,-0.0010361715522686362,0.00029824400997133184
feature_wisdom29,-0.0008841449917102732,0.0011860962452635712
feature_constitution66,-0.0007744280421098752,0.00077812034829157
feature_strength18,-0.0006077281541240059,0.002014287555300509
feature_wisdom1,-0.00048705089983541397,0.0009650078230490417
feature_constitution44,-0.0003718591509464508,0.0002745477892507262
feature_constitution101,-0.0003648350189771248,0.001137265605361633
feature_constitution12,-0.0001555232171062943,0.0012637168074009432
feature_constitution75,-4.630647546328392e-05,0.0024150889497865373
feature_wisdom7,2.365341316329488e-06,0.00032044403282776614
feature_constitution47,9.777893584001906e-05,0.0008141487655935738
feature_wisdom4,0.00024621022590436327,0.000641839944192193
feature_constitution69,0.00032399385778947466,7.44413518106496e-05
feature_wisdom24,0.00034364479563172906,0.0015480857726152379
feature_wisdom25,0.0006168640311685906,0.0014349477724980777
feature_constitution105,0.0007417219871120338,0.0026065703382724967
feature_wisdom9,0.0007441005074484628,0.0008454929605838034
feature_constitution64,0.0009241339503722853,0.002040347958096838
feature_wisdom46,0.00115633760979906,0.0002710347424687032
feature_wisdom11,0.0013254080328812736,0.0011726311560199434
feature_constitution73,0.0013503574487167258,0.000615291787847922
feature_constitution17,0.0014510342357307744,0.00022132284426671725
feature_constitution96,0.0015288073970121593,0.0017967138764274021
feature_strength17,0.0015941416456191322,0.000292114106022372
feature_constitution54,0.0016073245072048758,0.0003578474213669362
feature_dexterity2,0.0017666210722961408,0.0021694568477701377
feature_wisdom35,0.0020597438963936973,0.0005437424634266037
feature_constitution86,0.002068942637416544,0.0009679782005378602
feature_dexterity10,0.002086394125189617,0.0026698098617758065
feature_constitution45,0.002271466896264492,0.0010170667927828605
feature_constitution93,0.002274672488359731,0.00041031343528639237
feature_constitution15,0.0023054543613863546,0.0007778983951101819
feature_intelligence4,0.0023956541649104105,0.00045859496713253236
feature_wisdom6,0.0024197623395717416,0.0009109114949815864
feature_constitution55,0.0024350170728673886,0.0007971255400466919
feature_wisdom34,0.0024515227496715772,0.0005677721825946066
feature_constitution60,0.002504373405664857,0.0003416320361819829
feature_constitution2,0.002807321748868724,0.000429418821313936
feature_constitution8,0.002819627186325082,0.0006821852267513706
feature_charisma3,0.0028340306577430328,0.0014798819651880713
feature_wisdom2,0.002863468947367056,0.000611974173527017
feature_constitution70,0.0029281754180369075,0.0004407618506536233
feature_constitution33,0.0029823958539700215,0.0010818220983238828
feature_charisma45,0.0030585077855603553,0.0019611607927848937
feature_strength13,0.003060402091151975,0.0013143358973992001
feature_charisma48,0.003101886679590366,0.00041865442511724834
feature_charisma32,0.003286829665951461,3.2243548419087496e-05
feature_wisdom28,0.0033538641284737067,0.00201831607529259
feature_constitution6,0.0033615088569780515,0.002167713297644347
feature_intelligence2,0.003392323844045504,0.0019787426885211983
feature_intelligence3,0.003402092600307544,0.0005130400000565202
feature_constitution29,0.0034750690432175557,0.0009283786954144825
feature_constitution31,0.003528402645523742,0.0007783588514317584
feature_wisdom18,0.003598337062887494,0.0013145844096907828
feature_wisdom5,0.0036076445452476098,0.0015688942074055473
feature_charisma7,0.003654460513780329,0.0011131411859026396
feature_constitution99,0.0037124186750320206,0.00020746279469385383
feature_constitution25,0.0037517641596580844,0.0013566443971063306
feature_constitution41,0.0037587859079918164,0.001305830195364787
feature_constitution82,0.0037982553959301866,0.0004995130531203712
feature_constitution98,0.0038312618906116707,0.0006233344580491456
feature_constitution22,0.0038984196941242457,0.0015956868100114902
feature_constitution40,0.003900866944090813,0.0006056665058261946
feature_constitution65,0.00394115845040488,0.00037970401332459747
feature_charisma72,0.004174696149330459,0.0017359908409878746
feature_constitution112,0.004226733866160679,0.0011208430118572923
feature_strength23,0.004254090835521821,0.0003715545713260783
feature_constitution71,0.004309262383009476,0.0002379615316138471
feature_constitution92,0.004415800533301098,0.0001381696335574273
feature_constitution24,0.004449526201967872,0.0005350366516565976
feature_constitution32,0.004467506336844621,0.0023692111507741037
feature_constitution108,0.004481708504690846,0.0021372583972270056
feature_constitution103,0.004564563448042961,0.0020808540581072695
feature_constitution106,0.004630420192157683,0.0007621763776475062
feature_strength5,0.004671614455415557,0.001016023769494681
feature_constitution9,0.004673322534618204,0.001009831290897499
feature_constitution57,0.004678846214766352,0.00264208637525495
feature_constitution43,0.004687935567690185,0.00093167411602369
feature_constitution62,0.004694766057173326,0.001218019126088008
feature_constitution19,0.004755794061926641,0.00047280785630997345
feature_constitution20,0.004765335415520339,0.0013506225030330866
feature_constitution51,0.00477685961515142,0.0008129637223550272
feature_constitution102,0.004778868020986638,0.002417678673080284
feature_constitution37,0.004812257389545271,0.0008322337135038449
feature_dexterity5,0.004857808547378478,0.0018522657922037551
feature_charisma59,0.004869690909158107,0.0011079969142613868
feature_constitution109,0.0048855223102884275,0.0004000286473883616
feature_constitution53,0.004901533130048505,0.0007311715232960918
feature_constitution21,0.004935166479362944,0.00040988743286697897
feature_constitution104,0.004942940224919438,0.0006972561283358057
feature_intelligence11,0.004963982179756954,0.0006771865730404443
feature_constitution87,0.004982239720470652,0.000509556043021091
