,mean,std
feature_constitution44,-0.011870057718913187,0.0011357581104000597
feature_constitution66,-0.011217455619938718,0.0004904044617843141
feature_strength5,-0.010591098296668796,0.000857403550857239
feature_strength2,-0.008486586385596892,0.007225934801373272
feature_strength32,-0.006143676270389358,0.008846254546524327
feature_strength17,-0.00572957026563269,0.0019777787920752347
feature_constitution55,-0.005447195112766972,0.0015725024926120561
feature_strength6,-0.004988314448262812,0.002716795708173009
feature_constitution22,-0.004709026277265479,0.001351197358853554
feature_strength25,-0.0039554837864857065,0.0009692134867893526
feature_constitution93,-0.003889309343404833,0.002783848811153089
feature_constitution47,-0.0038503458731044015,0.0009168700501773598
feature_constitution41,-0.0035286549645637266,0.0007687090473419143
feature_constitution3,-0.003112843462635975,0.0010797923013083244
feature_wisdom11,-0.0026905585093694377,0.0009914901845590241
feature_constitution101,-0.0026839287523169504,0.0009723810027179412
feature_constitution75,-0.002674631011340197,0.0009448219151560423
feature_constitution57,-0.002633793707511979,0.0002762648070356432
feature_charisma27,-0.002566869394978778,0.0018789993593188708
feature_constitution77,-0.002469886275562954,0.00031268231568455017
feature_constitution86,-0.002467359399046005,0.0016281932007282491
feature_constitution48,-0.0024251837570505564,0.00014095986108926298
feature_constitution95,-0.0023706004845265682,0.0011071923241772425
feature_constitution92,-0.0022635539480336457,0.0006799895405930612
feature_constitution103,-0.0020714071541196783,0.0037016010690887574
feature_constitution106,-0.002069934181046222,0.00037399599247421
feature_constitution13,-0.0019144923660514197,0.0010397386660087587
feature_charisma77,-0.001838815917445723,0.0011644029206135666
feature_wisdom25,-0.001739619288713899,0.0012195150342463382
feature_charisma20,-0.001419013252657489,0.001931443731801286
feature_constitution53,-0.0012908136992976508,0.001791330652907623
feature_constitution32,-0.001262880097027928,0.0015409969870816072
feature_wisdom12,-0.0012288680538561486,0.0007015052692910848
feature_constitution16,-0.0011953851895751934,0.0012528014013720317
feature_constitution33,-0.0010726776839438984,0.00039184149182112043
feature_constitution64,-0.0008690551861205567,0.0014451718125910852
feature_constitution69,-0.0008466196318073343,0.0009970671229997251
feature_strength13,-0.0008064220846719541,0.0005571536124605618
feature_constitution54,-0.0008016325291496564,0.00022768044656764277
feature_constitution25,-0.000791917205526395,0.00012980550847247233
feature_constitution98,-0.0007481775626167838,0.0014551955032908839
feature_charisma17,-0.000713028730462097,0.0027644642207258984
feature_constitution45,-0.0006027526307257167,0.001190821988682216
feature_constitution52,-0.0004635119548756824,0.0017223835744579656
feature_constitution79,-0.00038013418937123816,0.000967299968172325
feature_strength36,-0.00029353814745011075,0.00042987297417415295
feature_constitution68,-0.00020227348838213898,0.000691728701509596
feature_wisdom46,-7.817005317333851e-05,0.00048620986768506966
feature_wisdom7,-7.217711479685729e-05,0.001216496751153055
feature_wisdom43,-1.4374886602827445e-05,6.088228344078484e-05
feature_constitution71,6.306723359682416e-05,0.0008470024722329794
feature_constitution58,0.00010042207278031158,0.0015525852450803952
feature_dexterity10,0.00016851017699432338,0.0006120083504232956
feature_charisma21,0.00032768240380253496,0.0012902490139207368
feature_wisdom29,0.0003301073609602169,0.0006000065954159494
feature_intelligence1,0.0003339202710638733,0.000793090806599394
feature_strength38,0.0003350480637606378,0.010691009322903419
feature_wisdom17,0.00044209194179251196,0.0004826316842956578
feature_constitution70,0.0006365787662843222,0.0013306687461049154
feature_constitution17,0.0006482144486484269,0.000498409362117614
feature_constitution24,0.0007558944841759537,0.0013699603606418267
feature_constitution108,0.0007745974677258917,0.0006837297624498694
feature_charisma65,0.0008685906408127109,0.01998003256452087
feature_constitution49,0.0009151745791694211,0.001033833236623542
feature_wisdom22,0.0009229387999811206,0.0004884927211973118
feature_constitution87,0.0009798078674140502,0.0023914718654931707
feature_constitution50,0.0009989140356039313,0.001125347705841397
feature_wisdom31,0.001018023643654981,0.0008239662992539618
feature_strength8,0.0010194554088804547,0.0007925147022390996
