mean,std
feature_wisdom33,-0.019996949070912897,0.004926335714646694
feature_strength2,-0.012304659985214928,0.0061489432403133825
feature_strength5,-0.010259324168935505,0.003444374357786697
feature_constitution66,-0.008898695778963796,0.0027267706596681876
feature_constitution44,-0.00852993408086662,0.0021628201249681545
feature_constitution3,-0.006871291488531731,0.0016918203201280256
feature_constitution60,-0.005716754903275038,0.0016044578484469773
feature_constitution87,-0.005605356507071735,0.0010652405357195196
feature_intelligence6,-0.005588317641309046,0.0033112870667224245
feature_intelligence1,-0.004659724641962227,0.00048406063077421576
feature_wisdom24,-0.004629123629520998,0.003883982586353202
feature_constitution55,-0.004541398803932868,0.000902635910715238
feature_wisdom25,-0.004394070725298265,0.0003718951348360227
feature_constitution33,-0.004051429485690099,0.0010017737985261678
feature_strength6,-0.003955455563087595,0.004077785500223401
feature_strength38,-0.0033672474888926246,0.009765973733963908
feature_constitution23,-0.0033491855388619765,0.001466309920758859
feature_constitution79,-0.0033022895309740424,0.0006641615964053463
feature_wisdom43,-0.0032332811492132574,0.000531526589413096
feature_intelligence7,-0.002651936062295831,0.00361814359899848
feature_strength17,-0.002433795427125292,0.002087087520527266
feature_wisdom11,-0.0019434389471186825,0.0013724812114072557
feature_constitution27,-0.0019122134763667226,0.0004651549747377471
feature_constitution95,-0.0017421574080482805,0.0002595271314203279
feature_constitution93,-0.0016232777644594792,0.0003384519754554822
feature_wisdom5,-0.001609302410332145,0.0009510147471164156
feature_wisdom12,-0.0014140513903388296,0.0007969411816763555
feature_charisma64,-0.0011366225779680845,0.002084789995753856
feature_constitution47,-0.0011052279989372568,0.0005100495249409875
feature_intelligence12,-0.0008802197941722104,0.00035282265129719085
feature_wisdom10,-0.0008794846760443063,0.0012595684558686028
feature_wisdom7,-0.0008267163680546989,0.0024150865663561637
feature_constitution12,-0.0007133722925189663,0.0012923999055451721
feature_constitution13,-0.0006247941131489972,0.0012760889360424338
feature_constitution2,-0.0004168678819605749,0.0009059753867232477
feature_constitution41,-0.0003585713962427188,0.001958973663480097
feature_wisdom18,-0.00024854153154699665,0.0018818904165592539
feature_wisdom9,2.01115906797109e-05,0.0005194864029873862
feature_wisdom46,0.00010862647197137182,0.0005696787734430138
feature_wisdom6,0.00011950693401038831,0.0010769244940175293
feature_strength29,0.00015486044007966687,0.0020195641344266236
feature_intelligence5,0.0002467857503749943,0.0021938119102132064
feature_strength31,0.00029553101979600086,0.0016888751948446357
feature_charisma45,0.0004959368506336229,0.0005666720604287351
feature_constitution70,0.000553546367955307,0.0007717271761837152
feature_constitution103,0.0005735725852431322,0.0018660561762423413
feature_constitution71,0.0006218689813080213,0.00047444234316730105
feature_wisdom19,0.0006235564076969446,0.00031157569408130683
feature_strength25,0.0007001274130471125,0.0011717668265661817
feature_charisma86,0.0007203854676933829,0.0008181794599199749
feature_constitution9,0.0007780866540494829,0.002595073622198135
feature_constitution31,0.0009026975340098014,0.0007164651779619786
feature_constitution52,0.0009230926573205882,0.0009587433559315206
feature_constitution48,0.0009432927365712864,0.0015909026011003762
feature_constitution101,0.0009939565967856056,0.0007904781888744253
feature_constitution17,0.0010080210772408465,0.0005239416215618722
feature_constitution86,0.0010137901043191892,0.0012846928396161204
feature_strength13,0.001029076868660385,0.004818357656753291
feature_constitution32,0.0010485587861677407,0.0005507809433512292
feature_wisdom17,0.0010684648787426217,0.0007931562227994206
feature_constitution106,0.0010754508484323553,0.001868857503075634
feature_wisdom22,0.001107426541689502,0.0009279685111359793
feature_strength32,0.001147069184793465,0.001465227123975991
feature_constitution7,0.0011666359460836809,0.0008642137015226642
feature_dexterity2,0.0011872612188619275,0.0018288743560535945
feature_strength20,0.0012166534056923042,0.011303516465754245
feature_wisdom29,0.0012542821381754067,0.0013090675191708074
feature_intelligence11,0.0013908047474049834,0.001982871065714321
feature_constitution15,0.0014587902693106735,0.000724349243057081
feature_constitution49,0.0015022487937475845,0.0011492848691784707
feature_charisma84,0.001524827321780219,0.003225535796409605
feature_strength24,0.001571019351457987,0.0019614608121075283
feature_wisdom28,0.0016809156342916444,7.927021630125293e-05
feature_constitution96,0.0017037398550139408,0.0027397505612191714
feature_strength37,0.0017573156577547176,0.0021594901317000563
feature_charisma17,0.0018060720875122428,0.003886991816325908
feature_constitution77,0.0020192422751814515,0.001734115246956128
feature_constitution53,0.00206833048406042,0.0002696382361693211
feature_constitution108,0.0020790523836527685,0.0020066844237141735
feature_constitution54,0.0021582710601052413,0.0008703578975671007
feature_constitution69,0.0021998122802993213,0.001074474938467487
feature_wisdom3,0.002251585943297696,0.001092418130635164
feature_constitution82,0.0022579470671913824,0.0009071517977073806
feature_constitution75,0.0023464828503263827,0.0010504766690828066
feature_strength36,0.002385813894635164,0.0014622073254129848
feature_intelligence8,0.002522535299600604,0.002429224771590531
feature_constitution22,0.00253756456745387,0.0012163528065375637
feature_constitution94,0.0025610882501601647,0.0007178942108107773
feature_charisma20,0.002585353214419472,0.0015184500937372094
feature_constitution25,0.0026603612662982946,0.001842432634812982
feature_constitution45,0.002663558492601966,0.000992365648484111
feature_constitution40,0.002666859439909989,0.0016457830839217856
feature_constitution64,0.0026883980119339055,0.0010059594208487552
feature_wisdom45,0.0026910960419486932,0.0011535794053570592
feature_constitution35,0.0027313467162012584,0.0011191344397371073
feature_constitution8,0.00281750626677257,0.0010270527025262927
feature_constitution21,0.0028341449653439114,0.0017089470626983007
feature_constitution112,0.0028374716408698414,0.0018501974883072926
feature_constitution73,0.0028431309812449665,0.000992946775569867
feature_constitution92,0.0029602841017378305,0.0021547791631008366
feature_constitution113,0.002971420007453884,0.0008101027409578699
feature_intelligence4,0.003138782071209926,0.0004458086615645692
feature_charisma21,0.0031623491277544646,0.0016623880001060745
feature_constitution99,0.003216068849940978,0.0017298611883196325
feature_constitution57,0.0032213666678811066,0.0019264163038074237
feature_constitution46,0.003242459590987542,0.0011183780442708467
feature_constitution24,0.0032527234751800875,0.0008877263804608755
feature_constitution37,0.003286787349771749,0.0007343503972740984
feature_constitution20,0.0033151196935243678,0.0009356759330523608
feature_constitution50,0.0033206997625740086,0.00039464769443083004
feature_dexterity10,0.0033440891157818548,0.0033859781992235443
feature_intelligence2,0.0033505244708140983,0.0026713901900470103
feature_dexterity1,0.0033584528829116293,0.0014543953935203158
feature_wisdom34,0.003444761486891098,0.001471778727600068
feature_charisma3,0.003546876950575873,0.0005923907913262345
feature_charisma11,0.003691106083929883,0.001378832187075937
feature_charisma58,0.0038491369003366646,0.001992060516232663
feature_wisdom41,0.003908875767925128,0.0004126820644232558
feature_wisdom2,0.0039131474943428154,0.0010488892909791931
feature_wisdom27,0.003998518964189782,0.001981310060573443
feature_charisma4,0.0040031522580902985,0.004706908906549903
feature_constitution43,0.004044791610788489,0.0006460757713028077
feature_wisdom30,0.00406600174805167,0.0020930761709296243
feature_constitution26,0.004089067829156892,0.00017728002152326972
feature_constitution38,0.004175972032025161,0.000972988705891001
feature_wisdom15,0.004182988776726366,0.0023531831454073272
feature_constitution98,0.004212590732935228,0.0015595860425225438
feature_charisma27,0.004268690388280114,0.000996183506460327
feature_constitution29,0.004470786639085517,0.0015679838940182277
feature_intelligence9,0.004522205818736109,0.00028093409710251954
feature_constitution67,0.004558148700110165,0.001615631363328665
feature_dexterity9,0.004568519274137927,0.0009012997903917169
feature_intelligence3,0.004605931561141836,0.00063039232599016
feature_dexterity13,0.0047681228502785295,0.0027130691560386714
feature_charisma73,0.0049162891846671435,0.016028708862218077
feature_wisdom16,0.005096433715607641,0.0013669406268633614
feature_intelligence10,0.005179231272682058,0.0012614266211335907
feature_constitution104,0.005223107503141199,0.0011374589418219735
feature_constitution1,0.005245516857164026,0.000629720225784991
feature_constitution109,0.005326996901646422,0.00043553879933788236
feature_wisdom26,0.005338313738278127,0.0004029630018894038
feature_constitution114,0.005380162107105921,0.0007748781398833357
feature_wisdom44,0.005443312323515716,0.0002855457052314784
feature_constitution91,0.005514578784269833,0.002772963737654723
feature_constitution62,0.0055327269159353544,0.0004753356765428294
feature_charisma80,0.005611095081776832,0.0017456127988063155
feature_charisma38,0.0057044943515499385,0.0019330528086391064
feature_constitution81,0.00570950093975645,0.0010490002120305576
feature_charisma12,0.005803119570572625,0.002186972338634943
feature_constitution65,0.005870691610064826,0.0012953268049201148
feature_charisma23,0.005923682777893186,0.0014046637137344273
feature_wisdom31,0.0059532703683977855,0.0008641196251830763
feature_constitution4,0.0060288763862613795,0.001219753863650654
feature_dexterity5,0.006062926297740201,0.002122501637230771
feature_constitution102,0.00614401585793174,0.002970375630390705
feature_constitution42,0.006164265404228698,0.001292670099224836
feature_constitution36,0.006235569745300342,0.00042376391329151177
feature_constitution16,0.006274578850227044,0.0008043821364037714
feature_wisdom4,0.006330610297878372,0.0022210871413223397
feature_wisdom35,0.006566135236378739,0.001142420932410249
feature_wisdom40,0.006579204290527157,0.00166885884860115
feature_constitution105,0.006618869248866322,0.00041880868983047167
feature_charisma44,0.006653421005814823,0.0011761966409781694
feature_strength23,0.006661560043468249,0.0008715770695700538
feature_charisma28,0.006688372971816052,0.0013823087944727567
feature_wisdom39,0.006775964265286254,0.000878828966001686
feature_constitution58,0.0068119892234939266,0.0010414739010675207
feature_charisma77,0.006851888863168567,0.0007141836715219106
feature_constitution111,0.006876892986841241,0.001909217938257158
feature_charisma30,0.006901234180643301,0.0020020790747104604
feature_constitution100,0.006934027661153082,0.0007434086437882213
feature_wisdom21,0.006957282456996363,0.0037288748010180974
feature_constitution56,0.007011937764737161,0.0036267430582339953
feature_constitution85,0.007076358000678746,0.0007675706147647435
feature_strength16,0.007151679806399976,0.0005099270775872231
feature_charisma74,0.0071545719108636946,0.0024405388306252096
feature_strength27,0.007242267870929982,0.0017519035163587227
feature_charisma53,0.007251852410461307,0.0007811726544439619
feature_constitution51,0.007377742282236428,0.0013408405375575233
feature_wisdom8,0.0073870958881260135,0.00052588063290975
feature_strength15,0.007504659567550565,0.0016777334206204628
feature_charisma82,0.007589516798311283,0.00026405208768998995
feature_constitution110,0.007650567315393836,0.0027472986140525033
feature_strength30,0.007750155431606398,0.0007828270924242854
feature_constitution14,0.007816731308993094,0.0008940532181477892
feature_charisma39,0.00783382654977159,0.0012105655431166643
feature_constitution80,0.007856355344589972,0.0006416876153430746
feature_wisdom38,0.007955873744880729,0.0009743495184769346
feature_charisma68,0.008019166646685474,0.0009753963729406662
feature_charisma13,0.008062196671972449,0.0012770512171967137
feature_strength18,0.008113439300077489,0.001498218328000628
feature_strength10,0.008131495387129577,0.0006114061253955881
feature_constitution30,0.00818249930605335,0.0008844019951075025
feature_constitution83,0.008212738704303448,0.0005768251232427353
feature_constitution84,0.008301501453181563,0.00046222249516388736
feature_constitution59,0.008542617913790365,0.0006188952109570199
feature_charisma70,0.008630820164738224,0.000695505081786964
feature_constitution63,0.008644839166382834,0.0013701927129040957
feature_wisdom13,0.008784568650375427,0.001843199180705761
feature_wisdom14,0.008789170862522825,0.0016574074337074322
feature_charisma2,0.008841354161086772,0.0011454775704376609
feature_constitution68,0.008844159245067963,0.0025222825507293114
feature_charisma36,0.008871063582907533,0.0009269901831316454
feature_wisdom20,0.008883669654811608,0.0011816829933128856
feature_constitution11,0.008897408102696583,0.0008895838907800555
feature_constitution88,0.009163012830802513,0.001414578982123876
feature_strength3,0.009226939942158693,0.0014963158736542395
feature_strength8,0.009319169954135556,0.0018805524654054912
feature_strength9,0.009347827773311208,0.0016699316930377595
feature_charisma24,0.009357702231610336,0.001053558552829496
feature_charisma85,0.009425299765784954,0.000506585817975985
feature_charisma51,0.00945425527362106,0.002388366224955214
feature_constitution78,0.009709428129579869,0.0005115301390354015
feature_wisdom37,0.00975272375094831,0.0023281380707651004
feature_constitution34,0.009889985146415958,0.0009641109662502811
feature_dexterity8,0.009899173151388564,0.003092620534362105
feature_charisma32,0.010141824796457342,0.0027387530095388194
feature_constitution61,0.010504013029589353,0.0007967637930636286
feature_wisdom1,0.010568107648637094,0.002139215103313683
feature_constitution97,0.010709098339638979,0.002263152971476173
feature_dexterity12,0.010766273120811213,0.003320319895765556
feature_constitution39,0.010989293278448222,0.0014804897634974397
feature_dexterity3,0.011152710663679755,0.0035243234931128403
feature_strength28,0.011196779323090954,0.002203709775502243
feature_constitution89,0.01120660753931419,0.0009351489391861378
feature_constitution90,0.011343787639255178,0.0023743827240579793
feature_wisdom42,0.011467345192354659,0.0015519438557455524
feature_strength19,0.011502946805742825,0.0013154982181598465
feature_constitution76,0.011528699012407802,0.0005394548649179464
feature_charisma31,0.011540878661668854,0.0013713965344021048
feature_charisma65,0.011697346431886536,0.007444208901132197
feature_charisma43,0.011763550226955856,0.0015947796317980632
feature_strength21,0.011813426576276665,0.0015804080974941596
feature_charisma10,0.011830361562291955,0.0015844659591963107
feature_strength12,0.0120065262001141,0.0009527104430469844
feature_charisma78,0.012157017581187557,0.001058448095479538
feature_dexterity14,0.012212331182255703,0.0041868653388375384
feature_constitution72,0.01237947990256416,0.001517429305038751
feature_constitution107,0.012431254784738386,0.001568917323545758
feature_charisma63,0.012492173978842907,0.0007849344373046999
feature_strength34,0.012526192412461704,0.0005328356340792219
feature_charisma9,0.012720337999161483,0.0028315614592679325
feature_constitution19,0.01274862464933022,0.0017265200281556749
feature_strength22,0.01277589561640403,0.0017073694595985804
feature_charisma1,0.012777801104957784,0.0026027629274761395
feature_strength14,0.012786095206439285,0.0004982390590789589
feature_charisma69,0.013300955220168173,0.0021475409014016815
feature_charisma34,0.013388261234796368,0.0019748514408527208
feature_constitution28,0.013469279941526191,0.0037193608628004137
feature_charisma61,0.013670103379768638,0.002610752695469607
feature_wisdom36,0.01371333804800038,0.001773009290255216
