mean,std
feature_intelligence1,8.00525988805902e-05,0.0003664290582480712
feature_intelligence10,0.0058396228772129785,0.0009727347927651896
feature_intelligence11,-0.0008513800126042845,0.0011122573184516352
feature_intelligence12,-0.0006176161163526406,0.0009284106183190631
feature_intelligence2,-0.0006176161163526406,0.0009284106183190631
feature_intelligence3,-0.0006176161163526406,0.0009284106183190631
feature_intelligence4,0.0020416468374237387,0.0010015107829732313
feature_intelligence5,-0.0006176161163526406,0.0009284106183190631
feature_intelligence6,-0.0006176161163526406,0.0009284106183190631
feature_intelligence7,-0.0006176161163526406,0.0009284106183190631
feature_intelligence8,0.0008646458361804649,0.0007495663403088331
feature_intelligence9,-0.0011502847857984358,0.0006223215881579366
feature_dexterity1,0.014951693010362926,0.001870765839506364
feature_dexterity10,0.0036978879728216747,0.0014107212355947071
feature_dexterity11,0.008548595909866763,0.0018552705418191067
feature_dexterity12,0.005465473585783048,0.002001114813619104
feature_dexterity13,0.0003186077162493984,0.00025747010701623625
feature_dexterity14,0.005465473585783048,0.002001114813619104
feature_dexterity2,0.00041917129518187333,0.000521891794433511
feature_dexterity3,0.0005690201085905645,0.0003741327262408648
feature_dexterity4,0.006059486847821476,0.003991988124675845
feature_dexterity5,0.0007070318479738334,0.0005207625394696726
feature_dexterity6,0.008548595909866763,0.0018552705418191067
feature_dexterity7,0.006059486847821476,0.003991988124675845
feature_dexterity8,0.0005690201085905645,0.0003741327262408648
feature_dexterity9,0.014951693010362926,0.001870765839506364
feature_strength1,0.01290642781307323,0.0013765805464282035
feature_strength10,0.0023813613190845425,0.0016790972590347622
feature_strength11,0.0069799844908275425,0.0017948942400441597
feature_strength12,-1.0466378835250524e-06,0.0003613633106051527
feature_strength13,0.00019308886550173994,0.00018991037873546164
feature_strength14,0.003849991175016237,0.0013350610419066004
feature_strength15,0.0012404512139732318,0.001098757407945863
feature_strength16,0.0031879553478788548,0.001340099051760626
feature_strength17,0.002154390371456393,0.0007533582828743478
feature_strength18,0.0026834713633085067,0.002155101808956593
feature_strength19,0.0042937332944202175,0.0003715543948443002
feature_strength2,0.0009833538008565768,0.0005857836546319054
feature_strength20,0.00015233628222397088,0.0004019433233292088
feature_strength21,0.0069799844908275425,0.0017948942400441597
feature_strength22,0.002904096095299602,0.0008314964065586845
feature_strength23,0.0031879553478788548,0.001340099051760626
feature_strength24,0.0011513735748937956,0.0005158710468340337
feature_strength25,0.0018193250878264626,0.0005295334231083201
feature_strength26,0.001611407089128169,0.000964294348404336
feature_strength27,0.0012404512139732318,0.001098757407945863
feature_strength28,0.000637278963265087,0.00022085393301222867
feature_strength29,0.0011513735748937956,0.0005158710468340337
feature_strength3,0.0042937332944202175,0.0003715543948443002
feature_strength30,-1.0466378835250524e-06,0.0003613633106051527
feature_strength31,0.0018193250878264626,0.0005295334231083201
feature_strength32,0.0009833538008565768,0.0005857836546319054
feature_strength33,0.001611407089128169,0.000964294348404336
feature_strength34,0.003849991175016237,0.0013350610419066004
feature_strength35,0.0018321078281261143,0.0006396072396648395
feature_strength36,0.0023813613190845425,0.0016790972590347622
feature_strength37,0.0026834713633085067,0.002155101808956593
feature_strength38,0.00015233628222397088,0.0004019433233292088
feature_strength4,0.01290642781307323,0.0013765805464282035
feature_strength5,0.00019308886550173994,0.00018991037873546164
feature_strength6,0.002154390371456393,0.0007533582828743478
feature_strength7,0.0018321078281261143,0.0006396072396648395
feature_strength8,0.000637278963265087,0.00022085393301222867
feature_strength9,0.002904096095299602,0.0008314964065586845
feature_wisdom1,0.0012008471739410186,0.0006266827450991757
feature_wisdom10,2.9888444140966025e-05,0.0006297365359162407
feature_wisdom11,0.0020596624390321625,0.0010985610352626327
feature_wisdom12,0.006154801941671283,0.0010475836131563958
feature_wisdom13,-3.162474145724436e-05,7.530377592013842e-05
feature_wisdom14,0.0028222322161673267,0.0007588891645606666
feature_wisdom15,0.002815713690186032,0.00011203547570085098
feature_wisdom16,0.001043461770959502,0.000682348505267474
feature_wisdom17,0.00013630139272070526,0.00018019499230362052
feature_wisdom18,0.003061783524054318,0.001968062664500794
feature_wisdom19,2.9888444140966025e-05,0.0006297365359162407
feature_wisdom2,0.006154801941671283,0.0010475836131563958
feature_wisdom20,0.003054235252282759,0.0002715689006639796
feature_wisdom21,0.002815713690186032,0.00011203547570085098
feature_wisdom22,0.0005664276023820289,0.0006959927988309676
feature_wisdom23,0.008145865369768409,0.0013469380392066037
feature_wisdom24,0.0013395361393536056,0.00024383564839496115
feature_wisdom25,0.003061783524054318,0.001968062664500794
feature_wisdom26,0.00138924763554054,0.0005512082272733488
feature_wisdom27,0.002815713690186032,0.00011203547570085098
feature_wisdom28,0.002815713690186032,0.00011203547570085098
feature_wisdom29,0.00013630139272070526,0.00018019499230362052
feature_wisdom3,0.000831434147069421,0.00042505803574351787
feature_wisdom30,0.001043461770959502,0.000682348505267474
feature_wisdom31,0.0020306019999150105,0.0016132417921600293
feature_wisdom32,0.000809419948991079,0.00011300142796440714
feature_wisdom33,0.0012166190656857805,0.000642682509502721
feature_wisdom34,9.135585141875197e-05,0.000184316675638876
feature_wisdom35,0.0023603940574839616,0.00020921059449686201
feature_wisdom36,0.01300805685287045,0.000677776776403558
feature_wisdom37,0.0003499692540723899,0.00020359156967862156
feature_wisdom38,0.0018621266276885632,0.0009195011506829985
feature_wisdom39,0.004066123158583307,0.0010300484985511077
feature_wisdom4,0.001043461770959502,0.000682348505267474
feature_wisdom40,0.004098384232380592,0.001021501521697313
feature_wisdom41,0.004098384232380592,0.001021501521697313
feature_wisdom42,0.01300805685287045,0.000677776776403558
feature_wisdom43,0.00436744601180578,0.00022405820031191342
feature_wisdom44,0.004098384232380592,0.001021501521697313
feature_wisdom45,0.001043461770959502,0.000682348505267474
feature_wisdom46,0.006154801941671283,0.0010475836131563958
feature_wisdom5,0.004098384232380592,0.001021501521697313
feature_wisdom6,0.0020596624390321625,0.0010985610352626327
feature_wisdom7,0.006154801941671283,0.0010475836131563958
feature_wisdom8,0.00138924763554054,0.0005512082272733488
feature_wisdom9,0.0005664276023820289,0.0006959927988309676
feature_charisma1,0.0015585273846409652,0.00103044111523304
feature_charisma10,0.0037676701061472597,0.00014643517631224013
feature_charisma11,0.002736348408605396,0.0011922798159064252
feature_charisma12,0.0002649701935419772,0.00018296536147231356
feature_charisma13,0.0009384933534121537,0.00018167308575046213
feature_charisma14,0.0018619057936937842,0.001184016788957907
feature_charisma15,0.0003908556175883316,0.000291583319854239
feature_charisma16,0.0009282497041395778,0.0009003028264387997
feature_charisma17,0.00022930973171264154,0.0003844311927864064
feature_charisma18,5.544087845930579e-05,0.0003390288313220752
feature_charisma19,0.0015585273846409652,0.00103044111523304
feature_charisma2,0.0013010898893411132,0.0002891356055381245
feature_charisma20,-1.6794396202016198e-05,0.00014494201928535614
feature_charisma21,0.0010125027427316266,0.0004718312939627869
feature_charisma22,0.0007190394988194321,0.0005439381400868413
feature_charisma23,-0.0003187708598037669,0.0005062892355446235
feature_charisma24,0.0013010898893411132,0.0002891356055381245
feature_charisma25,0.0006628047702377095,0.00035062873937082603
feature_charisma26,0.002657866120655513,0.0018487249174507622
feature_charisma27,0.00022516798463160075,0.0002682022940191301
feature_charisma28,0.0003788331367287877,0.00027511694519983637
