mean,std
feature_intelligence1,-0.0003209371562939521,0.0007358255879100278
feature_intelligence10,0.0025676375051075953,0.00047473759892888563
feature_intelligence11,0.0019940995985502576,0.0002892437345601975
feature_intelligence12,0.0005299350143226279,0.0002489135258232638
feature_intelligence2,0.002193759895135837,0.000884751001467796
feature_intelligence3,0.002193759895135837,0.000884751001467796
feature_intelligence4,0.0019940995985502576,0.0002892437345601975
feature_intelligence5,0.0005299350143226279,0.0002489135258232638
feature_intelligence6,-0.003516725441120525,0.002875184363117659
feature_intelligence7,-0.003516725441120525,0.002875184363117659
feature_intelligence8,-0.0003209371562939521,0.0007358255879100278
feature_intelligence9,0.0025676375051075953,0.00047473759892888563
feature_wisdom1,0.0005542832670019496,0.00029831995559390475
feature_wisdom10,0.0012121591129074403,0.0005448907569375642
feature_wisdom11,0.0003933786898742514,0.000357588333665991
feature_wisdom12,0.006279065176752551,0.00013410274435112526
feature_wisdom13,2.0313373887160846e-05,0.0005588297758954064
feature_wisdom14,0.0012857195723050268,0.0006247281987961811
feature_wisdom15,0.001153257620773083,0.0003171049252854602
feature_wisdom16,0.006279065176752551,0.00013410274435112526
feature_wisdom17,0.0014091839362723334,0.0006215651487794042
feature_wisdom18,-0.0003186464987793305,0.0007013437808626727
feature_wisdom19,0.0012121591129074403,0.0005448907569375642
feature_wisdom2,0.006279065176752551,0.00013410274435112526
feature_wisdom20,0.0008484291945648953,0.0002464770087302276
feature_wisdom21,-0.0005441045900437739,0.00045698076952100904
feature_wisdom22,0.0006385351968423195,0.0008739578717886873
feature_wisdom23,0.00477657190419485,0.001414380510896759
feature_wisdom24,0.0012030980132016458,0.0007337040484964944
feature_wisdom25,-0.0003186464987793305,0.0007013437808626727
feature_wisdom26,0.0009865657105544079,0.0007990171983130667
feature_wisdom27,0.001153257620773083,0.0003171049252854602
feature_wisdom28,-0.0005441045900437739,0.00045698076952100904
feature_wisdom29,0.0014091839362723334,0.0006215651487794042
feature_wisdom3,0.0016072596989721568,0.0006360668248994835
feature_wisdom30,0.006279065176752551,0.00013410274435112526
feature_wisdom31,0.0023267842866424174,0.0012280014026510523
feature_wisdom32,0.00477657190419485,0.001414380510896759
feature_wisdom33,0.0008004774448609332,0.0006696162162278624
feature_wisdom34,0.0009272773193102975,0.00032740806546084926
feature_wisdom35,0.0008582329371817654,0.00018536421849402917
feature_wisdom36,0.008238735478248773,0.001993042730048174
feature_wisdom37,0.0023267842866424174,0.0012280014026510523
feature_wisdom38,0.0023267842866424174,0.0012280014026510523
feature_wisdom39,0.0023267842866424174,0.0012280014026510523
feature_wisdom4,0.006279065176752551,0.00013410274435112526
feature_wisdom40,0.0005295059102308251,0.0004804810752350225
feature_wisdom41,0.001011958279931385,0.00019907624376457243
